,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,22.53062259922268,177.4588180580936,44.888,14592.676
1,2,16.472658334237757,72.64829484562205,119.515,18594.532
2,3,10.628553358477992,60.641540842016205,98.102,15058.45
3,4,5.40779303170386,14.159832699079825,98.884,12496.81
4,5,9.94307487860612,47.81394312743438,98.855,14894.89
5,6,2.829478440196059,2.5543302123865352,101.922,12557.753
6,7,2.246967421716331,1.811040240238236,101.951,14428.089
7,8,3.287944170471918,4.05333659831164,99.453,12205.22
8,9,4.85942921694162,6.616405825098632,99.075,16703.62
9,10,2.3789913005013865,2.4487213110791473,99.005,14201.149
10,11,6.428305902621422,12.288468662231352,99.607,16345.503
11,12,1.8822258102726641,1.5065314466836999,99.054,12319.477
12,13,13.654045861859695,82.62864639102855,101.168,18065.361
13,14,1.8310533174010093,1.4434270757180305,98.28,12343.129
14,15,1.6014725432967065,0.9031081039974472,99.785,12290.036
15,16,1.1662891960373063,0.4126887985808237,99.519,12295.814
16,17,1.2884494880592952,0.44919933268053625,100.813,12320.432
17,18,1.221860640930661,0.4175756868532736,97.859,12262.86
18,19,1.0957990750163908,0.401900168690688,100.843,12248.417
19,20,1.0840162013094599,0.33797067065662906,100.021,12580.939
20,21,1.1792219630495442,0.3743373482997335,101.531,12402.881
21,22,1.240181160817789,0.40621979646919726,98.138,12176.74
22,23,1.254913395875879,0.42097783765647007,99.719,12111.896
23,24,1.2733726810472277,0.43341271600336373,98.422,12106.535
24,25,1.2829381905034252,0.4395798735112647,98.16,12104.412
25,26,1.2866370707780606,0.44353727503616575,101.455,12110.319
26,27,1.2826782590783141,0.4423123148023999,98.511,12160.381
27,28,1.27204070060069,0.4364307693553343,100.064,12108.373
28,29,1.1085137304044785,0.32966297563710995,100.334,12098.772
29,30,1.1009858662239091,0.3261194588364402,102.293,12098.489
30,31,1.0958167116137867,0.32367898549208857,100.321,12355.161
31,32,1.094765567760338,0.3232133180270155,99.111,12173.088
32,33,1.0913190288865104,0.3215601773773905,98.312,12099.993
33,34,1.0919285514177046,0.32182898654990133,98.451,12104.281
34,35,1.0892545777574503,0.3205306524495461,98.506,12091.773
35,36,1.0902412811596323,0.3209673861303435,99.235,12108.947
36,37,1.0877947397829049,0.31978409912111977,102.585,12166.509
37,38,1.0870873024789391,0.3194704395862467,98.189,12094.103
38,39,1.0820366303989735,0.3170763812528763,101.608,12108.044
39,40,1.0818903686616332,0.31701155790815255,98.313,12091.431
40,41,1.0819243849282154,0.31702663013252586,98.562,12106.799
41,42,1.0792350310298584,0.3157785384633485,100.845,12168.66
42,43,1.0790377239309255,0.3156911394183415,99.232,12104.787
43,44,1.076405667097788,0.3144829697921562,98.51,12093.986
44,45,1.0763648434118789,0.3144648896094426,101.611,12097.978
45,46,1.0765417340157075,0.314543255806662,98.422,12130.262
46,47,1.073830848173876,0.31331485366385653,101.68,12151.775
47,48,1.0740995232164314,0.3134340074620133,99.341,12101.643
48,49,1.0741437286492852,0.3134536258129498,98.434,12098.515
49,50,1.0743613269093588,0.3135502527895425,98.689,12094.264
50,51,1.0744191184891418,0.31357593171155196,100.037,12152.501
51,52,1.0745992708033105,0.31365602286920596,101.644,12132.924
52,53,1.0746536500304602,0.31368021125042844,101.567,12103.865
53,54,1.0747284166397266,0.31371347778283815,100.202,12101.061
54,55,1.0748915243863477,0.3137860894750548,100.516,12093.647
55,56,1.0749153087101009,0.31379668213580963,99.291,12192.167
56,57,1.0749628756605913,0.3138178700954935,101.729,12095.025
57,58,1.0749628756605913,0.3138178700954935,98.41,12098.764
58,59,1.075010440348577,0.31383906157228636,98.459,12098.053
59,60,1.075010440348577,0.31383906157228636,102.604,12111.236
60,61,1.0750444137406197,0.3138542004944508,98.404,12177.088
61,62,1.0723906364874027,0.31266609295297343,102.369,12096.267
62,63,1.0724076214811609,0.3126736650598646,98.618,12094.755
63,64,1.0724449874519761,0.3126903252732011,98.807,12097.554
64,65,1.0724483842891805,0.3126918399456457,98.645,12110.445
65,66,1.0724755585714414,0.3127039579707326,99.378,12176.793
66,67,1.0724823520266282,0.31270698765631105,99.709,12111.79
67,68,1.0724959387985473,0.31271304724262283,99.567,12104.998
68,69,1.0725299049207395,0.3127281974634043,99.048,12098.617
69,70,1.0725366980067372,0.3127312277226914,101.752,12142.72
70,71,1.0725536805198432,0.3127388036846203,98.647,12171.611
71,72,1.0725570769878567,0.312740318930784,100.899,12094.411
72,73,1.0725706627445488,0.3127463800946895,98.703,12102.094
73,74,1.0725706627445488,0.3127463800946895,100.162,12104.86
74,75,1.0725808519409439,0.3127509261558279,99.624,12111.084
75,76,1.0725808519409439,0.3127509261558279,98.614,12161.725
76,77,1.0725876446808646,0.31275395695287445,100.779,12095.234
77,78,1.07260123002228,0.3127600187620474,98.521,12100.753
78,79,1.0726046263287978,0.31276153425914877,98.552,12096.255
79,80,1.07260802262378,0.31276304977417246,102.585,12111.133
80,81,1.07260802262378,0.31276304977417246,101.811,12441.052
81,82,1.0726114189072264,0.3127645653071181,98.992,12351.676
82,83,1.072614815179139,0.31276608085798635,99.954,12168.4
83,84,1.072614815179139,0.31276608085798635,103.008,12105.155
84,85,1.072621607688359,0.312769112013488,98.645,12121.257
